latitud,longitud,radio_error,n_gruas,direccion,num,cp,provincia,comunidad,pais,uso1,uso2,obra_nueva
42.1076545715,2.210258007,,,C. de Torello,,08585,Montesquiu,Catalonia,ES,residencial,residencial,1
41.4618186951,1.6669299603,,,Avinguda de Montserrat,,08776,Sant Quinti de Mediona,Catalonia,ES,residencial,residencial,1
41.9858512878,2.311549902,,,Carrer Josep Caminals,,08560,Roda de Ter,Catalonia,ES,residencial,residencial,1
41.9000587463,1.8752000332,,,Carrer de la Carretera de Viver,,08670,Navas,Catalonia,ES,residencial,residencial,1
41.8232803345,1.8959000111,,,Carrer del Clos,,,Sallent,Catalonia,ES,residencial,residencial,1
41.5778694153,1.6219899654,,,Carrer de la Soledat,,08700,Igualada,Catalonia,ES,residencial,residencial,1
41.3411307262,2.0301164425,,,Carrer dek Gaia,,08830,Sant Boi de Llobregat,Catalonia,ES,residencial,residencial,1
41.6061019897,1.6434500217,,,Carrer la Font,,08711,+Ædena,Catalonia,ES,residencial,residencial,1
41.5809780684,1.6165789128,,,Carrer de Sant Magi,,08700,Igualada,Catalonia,ES,residencial,residencial,1
41.3790869,2.0572066,,,Carretera Reial,,089809,Sant Just Desvern,Catalonia,ES,residencial,residencial,1
41.3065308666,1.99697097,,,Carrer Mare de Deu dels Dolors,,08850,Gava,Catalonia,ES,residencial,residencial,1
41.3546338,2.066041,,,Carrer del Doctor Marti i Julia,,08940,Cornella de Llobregat,Catalonia,ES,residencial,residencial,1
41.3520088196,2.0768098831,,,Passeig dels Ferrocarrils Catalans,,08940,Cornella de Llobregat,Catalonia,ES,residencial,residencial,1
41.3254585266,2.0964200497,,,Carrer Narcis Monturiol,,08820,el Prat de Llobregat,Catalonia,ES,residencial,residencial,1
41.3551669,2.0672018,,,Carrer de Joaquim Rubio i Ors,,08940,Cornella de Llobregat,Catalonia,ES,residencial,residencial,1
41.3861773,2.0986851,,,Avinguda dels Traginers,,08906,Esplugues de Llobregat,Catalonia,ES,residencial,residencial,1
41.3851181,2.0975785,,,Carrer de J. Anguera i Sala,,08906,Esplugues de Llobregat,Catalonia,ES,residencial,residencial,1
41.3845851,2.0979976,,,Carrer de Joan Miro,,08906,Esplugues de Llobregat,Catalonia,ES,residencial,residencial,1
41.3604880012,2.0750497258,,,Carrer de Mossen Jaume Soler i Puigvert,,08940,Cornella de Llobregat,Catalonia,ES,residencial,residencial,1
41.364776088,2.0744675984,,,Carrer de Josep Feliu i Codina,,08940,Cornella de Llobregat,Catalonia,ES,residencial,residencial,1
41.3663038,2.0592552,,,Carrer de Montjuic,,08970,Sant Joan Despi,Catalonia,ES,residencial,residencial,1
41.3528036952,2.0699892656,,,Carrer de Joaquim Rubio i Ors,,08940,Cornella de Llobregat,Catalonia,ES,residencial,residencial,1
41.5453513,1.6712164,,,Carrer dels Avets,,08787,la Pobla de Claramunt,Catalonia,ES,residencial,residencial,1
41.3639,2.06006,,,Carrer de Maria Aurelia Campmany,,08970,Cornella de Llobregat,Catalonia,ES,residencial,residencial,1
41.3806677,2.0549633,,,Carrer de Sant Jaume,,089809,Sant Feliu de Llobregat,Catalonia,ES,residencial,residencial,1
41.530670166,1.6888600588,,,Carrer de la Divina Pastora,,08786,Capellades,Catalonia,ES,residencial,residencial,1
41.3818498001,2.0417138865,,,Carrer Joan Antoni Samaranch,,08980,Sant Feliu de Llobregat,Catalonia,ES,residencial,residencial,1
41.36747,2.07659,,,Passatge dels Rossers,,08940,Cornella de Llobregat,Catalonia,ES,residencial,residencial,1
41.352561,2.0876245,,,Carrer de Lepanto,,08940,Cornella de Llobregat,Catalonia,ES,residencial,residencial,1
41.3919117,2.0464113,,,Carrer Joan Fuster i Ortells,,08980,Sant Feliu de Llobregat,Catalonia,ES,residencial,residencial,1
